Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Last 5 Day Avg. Vol,Previous-Last 5 Day Avg. Vol,5 Day Price Change(5Day),STD of 100 Day Price Change(5Day),signal,c_signal,exit,return,str_return,cu_str_return,cu_mar_return
2017-11-30,VEDL,EQ,298.35,295.8,298.35,294.0,295.1,295.45,295.59,9258308,273663239575000.0,112061,4628486,0.4999,,,,,0,0,0,,,,
2017-12-01,VEDL,EQ,295.45,297.45,297.45,285.5,285.9,286.7,291.84,8975712,261944865355000.03,81236,3050696,0.33990000000000004,,,,,0,0,0,-0.030063244902359402,-0.0,,
2017-12-04,VEDL,EQ,286.7,289.0,294.5,286.0,290.4,290.05,290.6,8323996,241892967494999.97,73171,3320656,0.39890000000000003,,,,,0,0,0,0.011616949022749262,0.0,,
2017-12-05,VEDL,EQ,290.05,291.0,291.05,285.0,288.2,288.45,287.56,6822921,196198350950000.0,93740,2846221,0.4172,,,,,0,0,0,-0.005531561209174991,-0.0,,
2017-12-06,VEDL,EQ,288.45,282.0,283.15,277.65,281.55,281.8,280.45,14499666,406636637780000.0,118480,6931400,0.478,,,,,0,0,0,-0.023324161238318555,-0.0,,
2017-12-07,VEDL,EQ,281.8,282.25,286.8,280.0,286.15,285.65,283.87,8441309,239624239890000.0,62025,3206923,0.3799,9576120.6,,-13.649999999999977,,0,0,0,0.013569685705891472,0.0,,
2017-12-08,VEDL,EQ,285.65,288.4,296.45,287.0,290.2,291.2,292.65,12565339,367720405050000.0,96000,4100604,0.32630000000000003,9412720.8,,-1.0500000000000114,,0,0,0,0.019243031152059446,0.0,,
2017-12-11,VEDL,EQ,291.2,292.45,294.2,286.0,291.4,291.35,291.01,5696252,165765727220000.0,54171,1922357,0.3375,10130646.2,,1.1499999999999773,,0,0,0,0.0005149772665523489,0.0,,
2017-12-12,VEDL,EQ,291.35,292.0,299.9,292.0,292.2,293.15,296.57,12260950,363625378265000.0,126240,4616389,0.3765,9605097.4,,2.900000000000034,,0,0,0,0.006159129821140628,0.0,,
2017-12-13,VEDL,EQ,293.15,293.4,293.45,281.4,284.0,283.55,287.64,13824171,397633738460000.0,149714,5811499,0.4204,10692703.2,,11.349999999999966,,0,0,0,-0.03329594895018691,-0.0,,
2017-12-14,VEDL,EQ,283.55,285.5,288.05,280.35,284.65,284.55,283.62,8191473,232327466935000.0,71821,2503486,0.3056,10557604.2,9576120.6,-2.099999999999966,,0,0,0,0.0035205105890959857,0.0,,
2017-12-15,VEDL,EQ,284.55,289.95,299.9,289.95,298.85,298.0,297.25,25896065,769771023265000.0,191912,11055086,0.4269,10507637.0,9412720.8,-6.649999999999977,,0,0,0,0.04618450145627142,0.0,,
2017-12-18,VEDL,EQ,298.0,296.0,313.25,286.5,309.45,308.4,306.13,16392365,501817799314999.94,162241,4052638,0.2472,13173782.2,10130646.2,6.649999999999977,,0,0,0,0.034304155183769794,0.0,,
2017-12-19,VEDL,EQ,308.4,310.9,317.05,309.45,316.9,316.25,313.48,12947852,405893044540000.0,147713,3975106,0.307,15313004.8,9605097.4,15.25,,0,0,0,0.025135398352555693,0.0,,
2017-12-20,VEDL,EQ,316.25,316.0,319.45,313.4,317.55,317.25,316.85,7994949,253319390150000.0,80420,1529061,0.1913,15450385.2,10692703.2,32.69999999999999,,0,0,0,0.003157066552767033,0.0,,
2017-12-21,VEDL,EQ,317.25,318.0,320.3,313.5,317.5,317.15,317.2,8013486,254184304405000.03,77887,2015714,0.2515,14284540.8,10557604.2,32.69999999999999,,0,0,0,-0.00031525851459100925,-0.0,,
2017-12-22,VEDL,EQ,317.15,319.25,319.75,312.75,316.55,316.55,316.06,5133366,162247729845000.0,58879,986354,0.19210000000000002,14248943.4,10507637.0,19.149999999999977,,0,0,0,-0.001893641089770516,-0.0,,
2017-12-26,VEDL,EQ,316.55,319.0,323.0,318.25,322.0,321.95,320.82,9229235,296096185630000.0,103600,3863325,0.4186,10096403.6,13173782.2,8.150000000000034,,0,0,0,0.01691504699405699,0.0,,
2017-12-27,VEDL,EQ,321.95,323.55,328.25,320.6,324.7,326.2,325.01,9125155,296580804275000.0,67250,3068999,0.33630000000000004,8663777.6,15313004.8,5.699999999999989,,0,0,0,0.013114436202720988,0.0,,
2017-12-28,VEDL,EQ,326.2,327.5,335.0,327.5,333.05,332.7,332.56,14395582,478745204160000.06,90196,3545743,0.2463,7899238.2,15450385.2,8.949999999999989,,0,0,0,0.019730492837517585,0.0,,
2017-12-29,VEDL,EQ,332.7,334.75,335.5,326.75,330.55,329.9,330.47,6626213,218975709355000.03,56828,1938631,0.2926,9179364.8,14284540.8,15.550000000000011,,0,0,0,-0.008451604789895383,-0.0,,
2018-01-01,VEDL,EQ,329.9,331.0,333.3,323.4,324.6,325.45,327.95,5729566,187898799095000.0,43651,1541384,0.269,8901910.2,14248943.4,13.349999999999966,,0,0,0,-0.01358073821613939,-0.0,,
2018-01-02,VEDL,EQ,325.45,328.0,328.8,318.7,327.05,327.75,325.07,6721641,218499505360000.0,54169,1188724,0.17690000000000003,9021150.2,10096403.6,3.5,,0,0,0,0.007042282625412951,0.0,,
2018-01-03,VEDL,EQ,327.75,330.35,335.25,329.05,332.25,332.5,332.78,8171980,271947465269999.97,76588,2092697,0.2561,8519631.4,8663777.6,1.5500000000000114,,0,0,0,0.01438873745209967,0.0,,
2018-01-04,VEDL,EQ,332.5,335.2,341.5,330.05,341.5,339.1,336.07,8879360,298408891270000.0,79867,3267126,0.3679,8328996.4,7899238.2,-0.19999999999998863,,0,0,0,0.01965518903568417,0.0,,
2018-01-05,VEDL,EQ,339.1,340.5,346.3,338.1,338.85,339.55,341.77,9693755,331300673410000.0,77144,4025387,0.4153,7225752.0,9179364.8,9.200000000000045,,0,0,0,0.001326162428207493,0.0,,
2018-01-08,VEDL,EQ,339.55,339.9,341.7,335.65,340.2,340.25,338.81,5023286,170194888090000.0,40833,1200839,0.2391,7839260.4,8901910.2,14.100000000000023,,0,0,0,0.002059429971775019,0.0,,
2018-01-09,VEDL,EQ,340.25,342.25,342.85,334.55,338.5,337.7,337.62,6677065,225428008950000.0,71302,2991523,0.44799999999999995,7698004.4,9021150.2,12.5,,0,0,0,-0.007522714140053483,-0.0,,
2018-01-10,VEDL,EQ,337.7,339.85,343.5,333.0,334.8,334.8,337.89,7713328,260625009540000.0,72126,2153836,0.2792,7689089.2,8519631.4,5.199999999999989,,0,0,0,-0.008624588776201722,-0.0,,
2018-01-11,VEDL,EQ,334.8,335.0,336.3,331.35,334.6,333.9,333.78,4128265,137793769330000.0,36719,958978,0.2323,7597358.8,8328996.4,-4.300000000000011,,0,0,0,-0.0026917916657115256,-0.0,,
2018-01-12,VEDL,EQ,333.9,337.0,341.45,335.2,338.8,339.55,338.83,8144499,275956902180000.03,54203,1286004,0.15789999999999998,6647139.8,7225752.0,-5.650000000000034,,0,0,0,0.016779664610191695,0.0,,
2018-01-15,VEDL,EQ,339.55,342.0,344.0,337.7,338.0,339.2,341.17,5084069,173451512935000.0,35896,1372460,0.27,6337288.6,7839260.4,-0.6999999999999886,,0,0,0,-0.0010313076420524986,-0.0,,
2018-01-16,VEDL,EQ,339.2,339.8,340.75,325.05,331.15,330.15,331.72,8117693,269277137585000.0,78787,2890597,0.3561,6349445.2,7698004.4,1.5,,0,0,0,-0.027042807277167638,-0.0,,
2018-01-17,VEDL,EQ,330.15,329.9,336.25,322.05,332.9,334.9,330.29,9947827,328565050620000.0,81851,4199839,0.4222,6637570.8,7689089.2,-4.650000000000034,,0,0,0,0.014284883159578439,0.0,,
2018-01-18,VEDL,EQ,334.9,335.9,336.0,323.0,324.9,326.7,328.09,13916937,456598671375000.0,144992,7391570,0.5311,7084470.6,7597358.8,1.0,,0,0,0,-0.02478966119313438,-0.0,,
2018-01-19,VEDL,EQ,326.7,326.5,333.7,323.1,332.45,331.65,328.0,7650044,250923970930000.03,89240,2320263,0.3033,9042205.0,6647139.8,-12.850000000000023,,0,0,0,0.015037877364540502,0.0,,
2018-01-22,VEDL,EQ,331.65,332.5,332.7,324.5,327.9,326.95,326.67,7508442,245279983690000.0,60998,3961407,0.5276,8943314.0,6337288.6,-7.550000000000011,,0,0,0,-0.014272941964279978,-0.0,,
2018-01-23,VEDL,EQ,326.95,328.1,349.95,328.1,344.0,343.5,342.93,18222487,624898172190000.0,175215,4610412,0.253,9428188.6,6349445.2,-3.1999999999999886,,0,0,0,0.049379857655119215,0.0,,
2018-01-24,VEDL,EQ,343.5,343.4,347.4,337.6,337.85,340.0,342.44,11024875,377531879240000.0,106066,4513309,0.4094,11449147.4,6637570.8,8.600000000000023,,0,0,0,-0.010241494052196907,-0.0,,
2018-01-25,VEDL,EQ,340.0,338.9,352.05,338.8,345.4,345.6,347.11,13605990,472279361910000.06,114858,5148691,0.37840000000000007,11664557.0,7084470.6,13.300000000000011,,0,0,0,0.0163364193196936,0.0,,
2018-01-29,VEDL,EQ,345.6,348.35,355.7,342.45,345.9,345.0,351.17,13215637,464091754470000.0,121383,4014055,0.3037,11602367.6,9042205.0,13.950000000000045,,0,0,0,-0.0017376198985408486,-0.0,,
2018-01-30,VEDL,EQ,345.0,344.9,344.9,337.1,341.8,341.3,341.1,7382593,251823587050000.0,88866,2351214,0.3185,12715486.2,8943314.0,18.05000000000001,,0,0,0,-0.010782561118698367,-0.0,,
2018-01-31,VEDL,EQ,341.3,342.0,346.45,335.25,340.9,340.35,341.24,8287707,282807869670000.0,81001,2055328,0.24800000000000003,12690316.4,9428188.6,-2.1999999999999886,,0,0,0,-0.0027873560187009097,-0.0,,
2018-02-01,VEDL,EQ,340.35,340.0,346.2,329.8,343.05,341.45,337.28,15344365,517527242770000.0,172431,5044102,0.3287,10703360.4,11449147.4,0.35000000000002274,,0,0,0,0.0032267555131377194,0.0,,
2018-02-02,VEDL,EQ,341.45,337.4,345.95,331.3,332.5,334.3,339.51,11879455,403321532030000.0,121977,2937383,0.24730000000000002,11567258.4,11664557.0,-4.150000000000034,,0,0,0,-0.021162461981045235,-0.0,,
2018-02-05,VEDL,EQ,334.3,325.0,332.9,313.5,332.75,328.85,324.67,12360798,401313083995000.0,104831,3860697,0.3123,11221951.4,11602367.6,-10.699999999999989,,0,0,0,-0.016437073678692887,-0.0,,
2018-02-06,VEDL,EQ,328.85,311.1,328.85,309.7,323.6,321.65,317.68,12008404,381477532105000.0,116198,3582140,0.2983,11050983.6,12715486.2,-12.449999999999989,,0,0,0,-0.022137721890350796,-0.0,,
2018-02-07,VEDL,EQ,321.65,326.5,331.0,312.6,313.2,315.7,319.63,16798249,536914863630000.0,118510,5385165,0.32060000000000005,11976145.8,12690316.4,-18.700000000000045,,0,0,0,-0.01867160229306341,-0.0,,
2018-02-08,VEDL,EQ,315.7,312.5,318.6,305.15,315.65,314.45,311.68,16604938,517541366555000.0,123373,3488465,0.2101,13678254.2,10703360.4,-25.75,,0,0,0,-0.003967314574433569,-0.0,,
2018-02-09,VEDL,EQ,314.45,307.05,321.0,306.1,316.4,316.3,314.52,9515144,299266955050000.0,92149,1703244,0.179,13930368.8,11567258.4,-19.850000000000023,,0,0,0,0.005866049322090955,0.0,,
2018-02-12,VEDL,EQ,316.3,319.95,319.95,312.6,315.2,315.55,315.8,9097394,287292018455000.0,74834,2754433,0.3028,13457506.6,11221951.4,-12.550000000000011,,0,0,0,-0.0023739822813546208,-0.0,,
2018-02-14,VEDL,EQ,315.55,320.25,323.4,311.9,312.65,315.75,320.06,7154264,228977005869999.97,85644,1948146,0.2723,12804825.8,11050983.6,-6.099999999999966,,0,0,0,0.0006336132003519345,0.0,,
2018-02-15,VEDL,EQ,315.75,320.1,328.35,320.05,324.2,324.4,324.98,11559723,375666099970000.0,89508,2173894,0.1881,11833997.8,11976145.8,0.05000000000001137,,0,0,0,0.02702656101065734,0.0,,
2018-02-16,VEDL,EQ,324.4,329.9,329.9,316.0,320.0,319.75,321.37,9116738,292988521440000.0,77559,1852164,0.20320000000000002,10786292.6,13678254.2,9.949999999999989,,0,0,0,-0.014437881782305704,-0.0,,
2018-02-19,VEDL,EQ,319.75,321.1,324.5,314.1,321.55,320.35,319.38,8642478,276022027669999.97,58825,2043506,0.2364,9288652.6,13930368.8,3.4499999999999886,,0,0,0,0.0018747076260785505,0.0,,
2018-02-20,VEDL,EQ,320.35,321.0,331.0,320.0,329.0,328.7,327.41,11395413,373097922955000.0,114379,3093446,0.2715,9114119.4,13457506.6,4.800000000000011,,0,0,0,0.02573133258514296,0.0,,
2018-02-21,VEDL,EQ,328.7,330.0,331.0,320.9,329.0,327.6,324.72,12281795,398815478840000.0,113523,5839369,0.4754,9573723.2,12804825.8,12.949999999999989,,0,0,0,-0.003352128691259213,-0.0,,
2018-02-22,VEDL,EQ,327.6,325.3,330.55,322.0,328.7,328.65,327.75,17254470,565521425965000.0,85099,10004942,0.5798,10599229.4,11833997.8,3.2000000000000455,,0,0,0,0.003200002730670628,0.0,,
2018-02-23,VEDL,EQ,328.65,330.05,340.75,327.15,338.7,337.9,335.91,11270987,378608927670000.0,113959,3454188,0.3065,11738178.8,10786292.6,8.899999999999977,,0,0,0,0.027756639010659053,0.0,,
2018-02-26,VEDL,EQ,337.9,339.4,345.0,339.0,342.0,343.15,342.67,8842289,302999917050000.0,81595,3380885,0.3824,12169028.6,9288652.6,17.549999999999955,,0,0,0,0.015417675634399403,0.0,,
2018-02-27,VEDL,EQ,343.15,343.5,344.85,338.0,341.5,340.6,340.8,4697935,160104173830000.0,43684,1245122,0.265,12208990.8,9114119.4,14.449999999999989,,0,0,0,-0.007458901126055653,-0.0,,
2018-02-28,VEDL,EQ,340.6,338.7,338.7,327.0,330.0,329.75,332.33,10566570,351156585655000.0,118362,5172037,0.48950000000000005,10869495.2,9573723.2,13.0,,0,0,0,-0.03237397663116402,-0.0,,
2018-03-01,VEDL,EQ,329.75,327.2,333.65,321.7,322.5,323.25,327.83,8160931,267539503344999.97,67631,2754897,0.3376,10526450.2,10599229.4,1.1000000000000227,,0,0,0,-0.019908773945457165,-0.0,,
2018-03-05,VEDL,EQ,323.25,319.0,321.25,310.55,315.0,315.9,316.01,9269131,292914166565000.0,85194,2286442,0.24670000000000003,8707742.4,11738178.8,-14.649999999999977,,0,0,0,-0.023000309843927386,-0.0,,
2018-03-06,VEDL,EQ,315.9,318.3,327.45,311.1,312.45,313.45,320.84,11634001,373263758070000.0,95327,2453897,0.2109,8307371.2,12169028.6,-27.25,,0,0,0,-0.007785850088061935,-0.0,,
2018-03-07,VEDL,EQ,313.45,312.6,313.4,303.2,310.15,309.35,307.68,12198965,375338344395000.0,83642,4230372,0.3468,8865713.6,12208990.8,-27.150000000000034,,0,0,0,-0.013166535742979624,-0.0,,
2018-03-08,VEDL,EQ,309.35,313.9,317.0,301.85,307.65,308.4,308.49,9818423,302891803655000.0,68225,3048212,0.3105,10365919.6,10869495.2,-20.399999999999977,,0,0,0,-0.003075680287823515,-0.0,,
2018-03-09,VEDL,EQ,308.4,311.8,316.4,302.55,305.0,304.15,309.26,13854157,428447823760000.0,93776,2967248,0.21420000000000003,10216290.2,10526450.2,-14.850000000000023,,0,0,0,-0.013876640922460026,-0.0,,
